file_name.x	Date	Lab	Plate	background_mean	background_SD	threshold	Reference1_val	Reference1_titre	Reference2_val	Reference2_titre	Control1_val	Control1_titre	Control2_val	Control2_titre	Infected1_val	Infected1_titre	Infected2_val	Infected2_titre	Infected3_val	Infected3_titre	Infected4_val	Infected4_titre	file_name.y	inv_Reference1_titre	inv_Reference2_titre	inv_Control1_titre	inv_Control2_titre	inv_Infected1_titre	inv_Infected2_titre	inv_Infected3_titre	inv_Infected4_titre	Reference_average	inv_Reference1_titre_norm	inv_Reference2_titre_norm	inv_Control1_titre_norm	inv_Control2_titre_norm	inv_Infected1_titre_norm	inv_Infected2_titre_norm	inv_Infected3_titre_norm	inv_Infected4_titre_norm
2023-01-11 plate_1.csv	2023-01-11	Demengeot	plate_1	2.2415	0.09982413106487407	2.441148262129748	2.666	4.01472198177743e-7	2.5	4.01472198177743e-7	2.619	0.00657772049494414	2.521	0.00164443012373603	2.588	0.00164443012373603	2.694	2.56942206833755e-5	2.547	2.56942206833755e-5	2.566	1.60588879271097e-6	2023-01-11 plate_1	2490832.5023225443	2490832.5023225443	152.028350971835	608.1134038873419	608.1134038873419	38919.257848789835	38919.257848789835	622708.1255806369	4.01472198177743e-7	6204246554626.388	6204246554626.388	378677157.8751458	1514708631.5005877	1514708631.5005877	96941352416.0375	96941352416.0375	1551061638656.5989
2023-01-11 plate_2.csv	2023-01-11	Demengeot	plate_2	2.5395	0.09470103333272399	2.728902066665448	2.946	1.44015808837283e-6	2.898	1.44015808837283e-6	3.566	0.0235955501199004	2.869	0.0058988875299751	3.487	0.00147472188249377	2.817	3.68680470623444e-4	3.649	0.0235955501199004	2.745	0.0058988875299751	2023-01-11 plate_2	694368.2142075493	694368.2142075493	42.38087244919133	169.52348979676532	678.0939591870635	2712.3758367482433	42.38087244919133	169.52348979676532	1.44015808837283e-6	482147216901.7811	482147216901.7811	29427930.71910291	117711722.87641165	470846891.50564814	1883387566.0225852	29427930.71910291	117711722.87641165
2023-01-11 plate_3.csv	2023-01-11	Demengeot	plate_3	2.251125	0.12224499697621276	2.4956149939524255	2.933	1.91250076834429e-6	2.526	4.78125192086074e-7	2.521	0.00195840078678456	2.598	0.00783360314713823	2.578	0.00195840078678456	3.179	0.00195840078678456	2.747	0.00783360314713823	2.62	1.19531298021518e-7	2023-01-11 plate_3	522875.60692889575	2091502.427715576	510.6207098914978	127.65517747287463	510.6207098914978	510.6207098914978	127.65517747287463	8366009.7108623395	1.1953129802151818e-6	437438240514.0175	1749752962056.0642	427185781.7519686	106796445.43799229	427185781.7519686	427185781.7519686	106796445.43799229	6999011848224.286
2023-01-11 plate_4.csv	2023-01-11	Demengeot	plate_4	2.2775	0.05274195944136206	2.382983918882724	2.475	2.15509800582741e-6	2.479	2.15509800582741e-6	2.624	0.00882728143186908	2.541	0.00882728143186908	2.464	8.62039202330965e-6	2.517	8.62039202330965e-6	2.632	0.00220682035796727	2.416	1.37926272372954e-4	2023-01-11 plate_4	464016.0202904872	464016.0202904872	113.28516120373212	113.28516120373212	116004.00507262167	116004.00507262167	453.14064481492846	7250.250317038875	2.15509800582741e-6	215310867086.22183	215310867086.22183	52566129.659722075	52566129.659722075	53827716771.5554	53827716771.5554	210264518.6388883	3364232298.2222223
2023-01-11 plate_5.csv	2023-01-11	Demengeot	plate_5	1.349875	0.10961939022949231	1.5691137804589845	1.581	4.72157124889476e-7	1.969	1.8886284995579e-6	1.79	0.00773582233418917	1.886	0.00773582233418917	1.702	3.02180559929265e-5	1.672	3.02180559929265e-5	1.767	0.00773582233418917	1.638	4.72157124889476e-7	2023-01-11 plate_5	2117939.023442849	529484.7558607133	129.26873922380676	129.26873922380676	33092.79724129447	33092.79724129447	129.26873922380676	2117939.023442849	1.180392812223688e-6	1794266282808.8225	448566570702.2065	109513322.92534322	109513322.92534322	28035410668.887814	28035410668.887814	109513322.92534322	1794266282808.8225
2023-01-17 plate_1.csv	2023-01-17	Demengeot	plate_1	2.174375	0.07474707352130926	2.3238691470426183	2.338	1.86758651928455e-7	2.394	7.47034607713819e-7	2.432	0.0122394150127832	2.455	0.0122394150127832	2.891	7.6496343829895e-4	2.605	0.0122394150127832	2.597	0.0122394150127832	2.324	0.0030598537531958	2023-01-17 plate_1	5354504.274228152	1338626.0685570398	81.70325125470221	81.70325125470221	1307.2520200752354	81.70325125470221	81.70325125470221	326.81300501880884	4.66896629821137e-7	11468286409091.031	2867071602272.7617	174992163.22465602	174992163.22465602	2799874611.5944963	174992163.22465602	174992163.22465602	699968652.8986241
2023-01-17 plate_2.csv	2023-01-17	Demengeot	plate_2	1.808875	0.09534963854901901	1.999574277098038	2.146	5.83455133403916e-7	2.26	5.83455133403916e-7	2.06	0.00238983222642244	2.135	0.00238983222642244	2.259	1.49364514151402e-4	2.044	5.83455133403916e-7	2.117	0.00238983222642244	2.256	3.73411285378506e-5	2023-01-17 plate_2	1713927.8459440977	1713927.8459440977	418.43941551369574	418.43941551369574	6695.030648219154	1713927.8459440977	418.43941551369574	26780.12259287655	5.83455133403916e-7	2937548661102.575	2937548661102.575	717174966.0894959	717174966.0894959	11474799457.43197	2937548661102.575	717174966.0894959	45899197829.72777
2023-01-17 plate_3.csv	2023-01-17	Demengeot	plate_3	2.51525	0.13858751747542053	2.792425034950841	2.813	3.27826643399385e-7	3.023	1.31130657359754e-6	2.795	0.00537111172545553	3.042	0.00537111172545553	2.93	0.00537111172545553	2.861	0.00537111172545553	3.432	5.24522629439016e-6	2.864	0.00537111172545553	2023-01-17 plate_3	3050392.7003325317	762598.1750831329	186.18119508865527	186.18119508865527	186.18119508865527	186.18119508865527	190649.54377078323	186.18119508865527	8.195666084984625e-7	3721958250496.798	930489562624.1995	227170303.37504843	227170303.37504843	227170303.37504843	227170303.37504843	232622390656.04987	227170303.37504843
2023-01-17 plate_4.csv	2023-01-17	Demengeot	plate_4	1.75275	0.0745879155283022	1.9019258310566045	2.389	2.09522689595139e-6	1.964	1.30951680996962e-7	2.053	0.00214551234145422	1.991	0.00214551234145422	1.902	0.00214551234145422	1.933	2.09522689595139e-6	1.968	5.23806723987848e-7	1.907	2.09522689595139e-6	2023-01-17 plate_4	477275.27836355165	7636404.453816819	466.08913902690665	466.08913902690665	466.08913902690665	477275.27836355165	1909101.1134542048	477275.27836355165	1.1130892884741761e-6	428784360163.77545	6860549762620.4	418734726.7224376	418734726.7224376	418734726.7224376	428784360163.77545	1715137440655.1	428784360163.77545
2023-01-17 plate_5.csv	2023-01-17	Demengeot	plate_5	2.316	0.1214260503939978	2.5588521007879956	2.592	1.08047539036618e-7	3.033	1.72876062458589e-6	2.666	6.91504249834354e-6	2.616	1.10640679973497e-4	2.732	0.00708100351830379	2.66	2.76601699933742e-5	2.653	1.72876062458589e-6	3.402	0.0283240140732152	2023-01-17 plate_5	9255185.346341794	578449.0841463616	144612.2710365908	9038.266939786896	141.2229209341706	36153.06775914765	578449.0841463616	35.305730233542604	9.184040818112539e-7	10077465387663.506	629841586728.9685	157460396682.24258	9841274792.64013	153769918.63500237	39365099170.560585	629841586728.9685	38442479.65875055
2023-01-17 plate_6.csv	2023-01-17	Demengeot	plate_6	2.3725	0.06501428414477191	2.5025285682895437	2.572	7.244401798385e-8	2.843	1.1591042877416e-6	2.531	2.9673069766185e-4	2.635	0.0011869227906474	2.55	4.6364171509664e-6	2.687	7.244401798385e-8	2.659	7.244401798385e-8	2.578	7.244401798385e-8	2023-01-17 plate_6	13803762.240561128	862735.1400350705	3370.05914076199	842.5147851904975	215683.78500876762	13803762.240561128	13803762.240561128	13803762.240561128	6.15774152862725e-7	22416923763993.08	1401057735249.5674	5472881778.318616	1368220444.579654	350264433812.39185	22416923763993.08	22416923763993.08	22416923763993.08
2023-01-24 plate_1.csv	2023-01-24	Demengeot	plate_1	1.84025	0.06581738806294708	1.9718847761258942	1.978	3.89321073108652e-7	1.978	3.89321073108652e-7	2.024	3.9866477886326e-4	1.981	3.89321073108652e-7	2.056	0.00159465911545304	2.178	0.00637863646181216	2.104	0.00637863646181216	2.053	2.49165486789537e-5	2023-01-24 plate_1	2568574.0358599066	2568574.0358599066	2508.3730818944377	2568574.0358599066	627.0932704736094	156.77331761840236	156.77331761840236	40133.969310311084	3.89321073108652e-7	6597572577693.648	6597572577693.648	6442941970.403948	6597572577693.648	1610735492.600987	402683873.15024674	402683873.15024674	103087071526.46336
2023-01-24 plate_2.csv	2023-01-24	Demengeot	plate_2	1.537875	0.06689317176342759	1.6716613435268552	2.258	2.29240957827935e-6	1.742	5.73102394569838e-7	1.703	0.00234742740815806	1.805	0.00234742740815806	1.762	1.46714213009878e-4	1.746	3.66785532524696e-5	1.699	1.46714213009878e-4	1.757	3.66785532524696e-5	2023-01-24 plate_2	436222.2220126064	1744888.8880504242	425.9982636841849	425.9982636841849	6815.972218946993	27263.8888757879	6815.972218946993	27263.8888757879	1.432755986424594e-6	304463723164.185	1217854892656.739	297327854.6525237	297327854.6525237	4757245674.440403	19028982697.761562	4757245674.440403	19028982697.761562
2023-01-24 plate_3.csv	2023-01-24	Demengeot	plate_3	1.9865	0.11008308550492996	2.20666617100986	2.275	4.44308623818516e-7	2.222	1.11077155954629e-7	2.283	0.00181988812316064	2.328	4.54972030790161e-4	2.509	0.00727955249264257	2.436	1.1374300769754e-4	2.593	2.8435751924385e-5	2.322	0.00727955249264257	2023-01-24 plate_3	2250687.8021086166	9002751.208434466	549.4843266866744	2197.937306746693	137.37108167166843	8791.74922698679	35166.99690794716	137.37108167166843	2.776928898865725e-7	8104952932096.825	32419811728387.3	1978748274.4377031	7914993097.750796	494687068.6094252	31659972391.00325	126639889564.013	494687068.6094252
2023-01-24 plate_4.csv	2023-01-24	Demengeot	plate_4	1.637125	0.09669161213436692	1.8305082242687338	2.107	2.01071916849437e-6	2.03	5.02679792123593e-7	2.16	0.00823590571415294	1.872	0.00205897642853824	2.315	0.00823590571415294	2.24	0.00205897642853824	1.891	0.00205897642853824	1.893	0.00205897642853824	2023-01-24 plate_4	497334.4938810136	1989337.9755240523	121.41955417016933	485.6782166806761	121.41955417016933	485.6782166806761	485.6782166806761	485.6782166806761	1.2566994803089815e-6	395746558086.21423	1582986232344.8552	96617812.03276715	386471248.1310676	96617812.03276715	386471248.1310676	386471248.1310676	386471248.1310676
